TEAM,TOTAL_POINTS,TOTAL_FGM,TOTAL_FG3M
DAL,9223,3323,1137
PHI,9111,3349,967
LAC,8980,3174,987
HOU,8916,3034,1269
MIL,8912,3244,1047
SAC,8696,3252,955
MIA,8646,3024,1083
LAL,8394,3129,825
NOP,8341,3065,982
WAS,8314,3008,883
DEN,8236,3110,799
ORL,8186,2994,862
BOS,8183,2971,905
UTA,8179,2945,986
TOR,8118,2897,995
PHX,8118,2942,807
SAS,8065,2986,757
POR,8065,2957,907
BKN,8035,2902,945
MEM,8028,3051,742
IND,7989,3075,743
ATL,7981,2907,800
OKC,7941,2875,769
CLE,7269,2784,650
CHI,6945,2573,793
NYK,6539,2515,557
CHA,6364,2313,736
DET,6169,2228,761
MIN,5957,2129,768
GSW,4888,1794,445
